	oob_score	n_estimators	min_weight_fraction_leaf	min_samples_split	min_samples_leaf	min_impurity_decrease	max_samples	max_leaf_nodes	max_features	max_depth	criterion	ccp_alpha	bootstrap	accuracy	average_precision	f1	precision	recall	roc_auc
93	False	100	0.0	2	1	0.0	0.75	50.0	log2		gini	0.0001	True	0.8600687026098612	0.7752813958451588	0.6055108535777498	0.8359400917753321	0.5549346879535559	0.8642646055921801
94	False	50	0.0	5	2	0.5	0.25	10.0	auto	1000.0	entropy	0.0	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
95	False	50	5.0	5	1	10.0	0.75	50.0	sqrt	1000.0	entropy	0.0	False						
96	True	100	10.0	5	2	5.0	0.75	500.0	log2	1000.0	entropy	1e-05	False						
97	True	50	5.0	10	1	1.0		100.0	log2		gini	1e-05	True						
98	True	100	10.0	10	1	10.0	0.25	100.0	auto	1000.0	entropy	0.01	True						
99	True	100	1.0	2	2	10.0	0.75	1000.0	log2	1000.0	gini	0.0	True						
100	False	50	0.0	10	2	0.0	0.1	50.0	auto	1000.0	entropy	0.1	False						
101	True	25	5.0	5	1	5.0	0.75	10.0	sqrt	1000.0	entropy	0.01	False						
102	True	75	10.0	10	2	10.0	0.1	100.0	auto	100.0	gini	0.1	True						
103	True	10	0.0	10	5	0.5		200.0	log2	100.0	entropy	0.0	False						
104	False	100	1.0	5	5	10.0	0.25		auto	100.0	entropy	0.01	False						
105	False	50	0.0	10	1	0.0		50.0	sqrt	1000.0	entropy	0.0	True	0.8619035649951824	0.763171975647638	0.6115652808975738	0.8588474414155906	0.536211901306241	0.8604044625526781
106	False	50	1.0	2	2	5.0	1.0	50.0	log2	10.0	entropy	0.01	False						
107	True	50	1.0	5	2	1.0	0.75	50.0	auto	10.0	gini	0.0	False						
108	True	100	5.0	5	2	5.0	0.75	100.0	sqrt	10.0	gini	0.01	True						
109	False	25	0.0	5	2	0.5		500.0	sqrt	100.0	gini	0.01	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
110	True	25	5.0	10	1	5.0	0.9	1000.0	auto	100.0	entropy	1e-05	False						
111	True	75	5.0	10	5	5.0	1.0	1000.0	sqrt		gini	0.01	False						
112	False	75	1.0	5	1	0.5	0.9	1000.0	log2	10.0	gini	1.0	True						
113	False	100	0.0	10	2	1.0	0.75	50.0	auto		gini	0.01	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
114	False	10	10.0	2	5	10.0	0.9	1000.0	sqrt	100.0	gini	1.0	False						
115	True	10	5.0	5	5	1.0	0.5		auto	1000.0	entropy	0.0001	True						
116	False	10	10.0	5	5	5.0	0.5	10.0	log2	10.0	entropy	0.0001	False						
117	True	100	10.0	2	2	1.0	0.25	200.0	log2	10.0	gini	1.0	True						
118	True	50	1.0	5	2	5.0	0.75	1000.0	auto	10.0	entropy	0.01	True						
119	True	100	1.0	10	1	0.5	0.25	10.0	sqrt	1000.0	gini	0.1	True						
120	False	10	5.0	5	5	1.0	0.9	200.0	log2	10.0	entropy	0.1	False						
121	True	10	0.0	5	2	5.0	0.75	1000.0	log2	10.0	gini	1.0	False						
122	False	50	5.0	10	2	0.0	0.75	500.0	auto	1000.0	gini	0.001	True						
123	True	50	5.0	10	1	10.0	0.9		sqrt		entropy	0.001	True						
124	True	75	5.0	2	5	0.5	0.1	500.0	sqrt	1000.0	gini	0.0	False						
125	False	100	10.0	10	1	5.0	0.75	100.0	log2	10.0	entropy	0.0001	False						
126	True	100	5.0	5	1	1.0	0.25	100.0	sqrt		entropy	1.0	False						
127	True	25	10.0	10	1	10.0	0.25	10.0	sqrt	1000.0	entropy	0.0	True						
128	False	75	10.0	10	1	1.0	0.5	1000.0	auto		entropy	1e-05	True						
129	False	75	1.0	2	2	5.0		200.0	log2	100.0	entropy	0.001	True						
130	True	50	1.0	5	2	0.0	1.0	1000.0	log2	10.0	gini	0.001	False						
131	True	100	0.0	5	2	5.0	0.5	100.0	auto	1000.0	gini	0.0001	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
132	False	100	0.0	2	5	0.5	0.5	10.0	sqrt		gini	0.0001	False						
133	False	75	0.0	2	1	0.5	0.25	500.0	sqrt	1000.0	entropy	0.001	False						
134	False	75	0.0	5	5	1.0	0.1	200.0	sqrt	100.0	entropy	1.0	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
135	True	75	0.0	5	1	5.0	0.75	50.0	sqrt	10.0	gini	1e-05	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
136	False	50	1.0	2	5	5.0	1.0	100.0	sqrt	1000.0	gini	0.01	True						
