	weights	p	n_neighbors	metric_params	metric	leaf_size	algorithm	accuracy	average_precision	f1	precision	recall	roc_auc
120	uniform	3	3	{'V': 2}	seuclidean	30	auto						
121	distance	1	10	{'V': 3}	mahalanobis	40	brute						
122	distance	1	7	{'V': 2}	chebyshev	40	auto	0.7531858740731431	0.4076048204874391	0.2256543067780996	0.4852564102564103	0.14919636617749826	0.6229384012130091
123	distance	3	5	{'V': 1}	seuclidean	20	brute						
124	uniform	2	3	{'V': 3}	seuclidean	20	kd_tree						
125	uniform	2	10	{'w': 2}	chebyshev	50	auto	0.7568430312932009	0.35903514132702063	0.1457264957264957	0.49653679653679655	0.08581411600279523	0.6229710711214083
126	distance	1	10	{'w': 2}	minkowski	40	kd_tree						
127	uniform	2	3	{'w': 1}	mahalanobis	40	ball_tree						
128	distance	1	3	{'V': 1}	chebyshev	100	kd_tree						
129	distance	1	7	{'V': 3}	seuclidean	20	brute						
130	distance	1	10	{'V': 3}	seuclidean	10	kd_tree						
131	distance	3	10	{'w': 1}	seuclidean	10	ball_tree						
132	uniform	2	5	{'V': 3}	mahalanobis	10	brute						
133	distance	3	10	{'w': 1}	minkowski	30	ball_tree						
134	distance	1	7	{'V': 3}	mahalanobis	50	auto						
135	uniform	3	7	{'w': 2}	minkowski	10	kd_tree						
136	distance	2	7	{'V': 3}	minkowski	10	kd_tree						
137	uniform	3	3	{'V': 1}	seuclidean	10	kd_tree						
138	distance	1	5	{'w': 3}	chebyshev	10	brute	0.7531984416237275	0.4034003723716756	0.26668828137064793	0.5104528039010797	0.18280922431865826	0.6231321703815451
139	distance	1	10	{'w': 1}	minkowski	30	auto	0.8134766034099954	0.6170209097580501	0.49521557034884794	0.6730986455405059	0.41055206149545775	0.7851927320488357
140	uniform	2	7	{'V': 1}	mahalanobis	50	kd_tree						
141	uniform	3	7	{'V': 2}	chebyshev	100	auto	0.7577562733023333	0.37027863767816616	0.22148805266897834	0.49936507936507946	0.14549266247379455	0.6109388905600166
142	distance	2	10	{'V': 2}	minkowski	40	kd_tree						
143	distance	3	10	{'w': 1}	chebyshev	20	auto	0.7531900632566713	0.3952537680083207	0.18809117831594246	0.46151960784313717	0.11942697414395528	0.633004662063539
144	distance	2	7	{'w': 1}	minkowski	10	ball_tree						
145	uniform	3	7	{'V': 1}	minkowski	100	auto	0.8116626869423149	0.5528281001564063	0.49614267106109616	0.6869232042698876	0.403214535290007	0.7475205797460857
146	uniform	3	3	{'V': 2}	minkowski	40	auto	0.7897197436219681	0.4783181916661838	0.47689060211360357	0.5858582405054968	0.4103424178895877	0.7122724070795602
147	distance	3	10	{'w': 3}	chebyshev	40	kd_tree						
148	uniform	1	7	{'w': 1}	minkowski	50	brute	0.8070922877131247	0.5554150201074798	0.4800048093373482	0.6700276603241719	0.4031446540880504	0.7651718927039075
149	distance	2	3	{'w': 1}	chebyshev	30	auto	0.7175233546981693	0.4515994678967088	0.49364403093067466	0.44006962964045393	0.5819007686932215	0.7010920679095264
150	distance	2	5	{'V': 3}	minkowski	20	auto	0.8025176993004063	0.566523409263659	0.49852666420609804	0.6389742524916944	0.4217330538085255	0.7434663423403288
151	uniform	2	3	{'V': 3}	minkowski	20	brute	0.7824054291818525	0.48391539905363573	0.4734393430384472	0.5584179111052376	0.41781970649895184	0.7159915234280619
152	distance	1	5	{'V': 1}	minkowski	30	kd_tree						
153	uniform	2	5	{'V': 2}	seuclidean	50	auto						
154	uniform	1	3	{'V': 2}	seuclidean	10	auto						
155	distance	1	10	{'w': 1}	seuclidean	30	auto						
156	distance	1	3	{'V': 2}	chebyshev	50	brute	0.7175233546981693	0.4515994678967088	0.49364403093067466	0.44006962964045393	0.5819007686932215	0.7010920679095264
157	uniform	2	10	{'w': 1}	mahalanobis	40	brute						
158	uniform	1	7	{'V': 2}	mahalanobis	40	kd_tree						
159	distance	2	3	{'w': 2}	minkowski	10	kd_tree						
160	distance	2	3	{'V': 2}	chebyshev	10	auto	0.7175233546981693	0.4515994678967088	0.49364403093067466	0.44006962964045393	0.5819007686932215	0.7010920679095264
161	uniform	2	10	{'w': 3}	seuclidean	20	brute						
162	uniform	3	7	{'V': 1}	mahalanobis	40	kd_tree						
163	distance	3	10	{'V': 3}	minkowski	10	ball_tree						
164	distance	2	10	{'w': 2}	seuclidean	40	ball_tree						
165	uniform	1	7	{'w': 3}	mahalanobis	50	kd_tree						
166	distance	1	3	{'w': 3}	seuclidean	20	kd_tree						
167	uniform	1	3	{'V': 1}	chebyshev	100	brute	0.7102216078086381	0.42224105473886586	0.4931379632047925	0.43485121574387725	0.5895877009084557	0.6935910518383809
168	distance	1	10	{'V': 3}	mahalanobis	10	ball_tree						
169	uniform	2	3	{'w': 3}	chebyshev	20	ball_tree						
170	distance	2	7	{'w': 3}	chebyshev	50	ball_tree						
171	distance	2	3	{'V': 2}	chebyshev	50	ball_tree						
172	uniform	1	7	{'w': 2}	chebyshev	30	auto	0.7577562733023333	0.37027863767816616	0.22148805266897834	0.49936507936507946	0.14549266247379455	0.6109388905600166
173	distance	3	5	{'V': 2}	seuclidean	30	auto						
174	distance	2	7	{'V': 3}	chebyshev	40	ball_tree						
175	uniform	2	5	{'w': 1}	seuclidean	20	ball_tree						
176	uniform	3	10	{'w': 3}	seuclidean	20	ball_tree						
177	uniform	2	10	{'w': 3}	chebyshev	100	ball_tree						
178	uniform	3	10	{'V': 1}	chebyshev	40	kd_tree						
179	distance	1	5	{'V': 3}	chebyshev	50	kd_tree						
180	uniform	2	5	{'w': 3}	seuclidean	40	auto						
181	uniform	1	3	{'V': 3}	mahalanobis	50	brute						
182	distance	3	10	{'V': 1}	minkowski	50	auto	0.8162414645385614	0.5862316451925376	0.48557602574723335	0.7318375173213882	0.3810621942697414	0.7527400855566346
183	distance	1	3	{'V': 2}	chebyshev	10	ball_tree						
184	distance	1	3	{'V': 3}	seuclidean	100	kd_tree						
185	distance	3	3	{'w': 3}	minkowski	10	kd_tree						
186	distance	2	5	{'w': 3}	seuclidean	30	kd_tree						
187	distance	1	3	{'w': 1}	seuclidean	10	kd_tree						
188	uniform	3	10	{'V': 2}	chebyshev	20	kd_tree						
189	distance	1	7	{'V': 1}	mahalanobis	10	brute						
190	distance	2	10	{'V': 2}	chebyshev	30	brute	0.7531900632566713	0.3952537680083207	0.18809117831594246	0.46151960784313717	0.11942697414395528	0.633004662063539
191	distance	2	7	{'w': 3}	mahalanobis	10	ball_tree						
192	distance	3	10	{'V': 3}	chebyshev	20	brute	0.7531900632566713	0.3952537680083207	0.18809117831594246	0.46151960784313717	0.11942697414395528	0.633004662063539
193	uniform	1	5	{'w': 2}	chebyshev	50	kd_tree						
194	distance	3	3	{'V': 2}	minkowski	40	brute	0.7878890704201751	0.5253658938321368	0.47754500818330603	0.5785950650844268	0.41404612159329146	0.7208714662984572
195	uniform	1	10	{'w': 2}	mahalanobis	50	kd_tree						
196	uniform	2	10	{'w': 2}	seuclidean	10	auto						
197	distance	3	7	{'V': 1}	minkowski	20	brute	0.807100666080181	0.5809671515921131	0.4878812686715877	0.669193131397827	0.3995108315863033	0.745712682379349
198	uniform	2	10	{'V': 2}	minkowski	20	kd_tree						
199	uniform	1	7	{'w': 1}	minkowski	20	auto	0.8070922877131247	0.5554150201074798	0.4800048093373482	0.6700276603241719	0.4031446540880504	0.7651718927039075
200	distance	2	5	{'w': 1}	mahalanobis	100	kd_tree						
201	distance	2	5	{'w': 1}	chebyshev	10	auto	0.7531984416237275	0.4034003723716756	0.26668828137064793	0.5104528039010797	0.18280922431865826	0.6231321703815451
202	uniform	3	7	{'V': 1}	minkowski	10	auto	0.8116626869423149	0.5528281001564063	0.49614267106109616	0.6869232042698876	0.403214535290007	0.7475205797460857
