	shrinking	probability	kernel	gamma	degree	decision_function_shape	coef0	break_ties	C	accuracy	average_precision	f1	precision	recall	roc_auc
3971	False	False	poly	auto	2	ovr	1.0	False	0.01	0.7586862720455783	0.7438556798862582	0.0	0.0	0.0	0.8507038312903283
3972	False	True	sigmoid	auto	3	ovo	0.1	True	0.005						
3973	False	False	rbf	scale	5	ovo	1.0	True	10.0						
3974	False	False	poly	auto	1	ovo	5.0	True	0.001						
3975	True	True	linear	scale	1	ovo	1.0	False	0.05	0.8545808721880105	0.7548365756037431	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8574920873625125
3976	True	False	sigmoid	auto	4	ovr	0.001	False	0.05	0.7586862720455783	0.7288358072353756	0.0	0.0	0.0	0.8457297987304807
3977	True	True	rbf	scale	5	ovr	0.001	False	0.05	0.7586862720455783	0.7230441609410447	0.0	0.0	0.0	0.8442980922237571
3978	False	False	rbf	auto	1	ovo	0.01	True	10.0						
3979	False	True	linear	scale	4	ovo	0.1	True	0.05						
3980	True	False	rbf	auto	2	ovo	0.1	True	0.01						
3981	False	False	poly	auto	3	ovr	5.0	False	0.05	0.8554941141971429	0.7529844021606285	0.568048215613789	0.8629122257053293	0.5132801161103048	0.8569587493661146
3982	False	False	sigmoid	auto	3	ovo	5.0	False	1.0	0.7586862720455783	0.6758076664643722	0.0	0.0	0.0	0.83874307097767
3983	False	True	poly	scale	4	ovo	10.0	False	5.0	0.7842193456495328	0.5795826549305334	0.5654749656235992	0.5434384684384684	0.6010159651669086	0.7749602182314161
3984	False	False	rbf	scale	5	ovo	0.1	True	0.1						
3985	False	True	linear	scale	1	ovo	1.0	True	0.001						
3986	False	True	linear	auto	5	ovr	10.0	False	0.005	0.7586862720455783	0.7422194270247472	0.0	0.0	0.0	0.8509145435151346
3987	True	False	sigmoid	scale	3	ovo	1.0	False	0.05	0.7586862720455783	0.6038547031351558	0.0	0.0	0.0	0.829874359557242
3988	True	True	rbf	auto	1	ovr	5.0	False	0.5	0.8554941141971429	0.7315976178691226	0.558527531767424	0.8811819964711018	0.48686502177068214	0.8490356199835627
3989	True	True	linear	scale	3	ovr	0.0	True	5.0	0.8545808721880105	0.7535855047574893	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8605150646125868
3990	True	False	sigmoid	scale	5	ovr	0.0	False	0.001	0.7586862720455783	0.7071055462069408	0.0	0.0	0.0	0.8441573259656915
3991	False	True	poly	scale	1	ovr	0.1	True	0.005	0.7586862720455783	0.741499433567741	0.0	0.0	0.0	0.8504988021753196
3992	False	True	sigmoid	scale	1	ovr	10.0	False	0.1	0.7586862720455783	0.6813329048970238	0.0	0.0	0.0	0.8336868519069018
3993	False	False	sigmoid	auto	5	ovr	5.0	False	0.01	0.7586862720455783	0.6689444183213843	0.0	0.0	0.0	0.8416821130676553
3994	True	False	sigmoid	scale	2	ovr	0.1	False	0.005	0.7586862720455783	0.6889169130470862	0.0	0.0	0.0	0.8362962736286219
3995	False	False	sigmoid	auto	5	ovr	5.0	True	1.0	0.7586862720455783	0.6758076664643722	0.0	0.0	0.0	0.83874307097767
3996	False	True	sigmoid	scale	5	ovr	0.001	False	5.0	0.7586485693938252	0.5320972130450505	0.48614644304203186	0.5057986239997238	0.480188679245283	0.7439715319915365
3997	True	False	rbf	scale	3	ovo	0.001	True	5.0						
3998	False	True	poly	scale	1	ovr	0.1	True	0.5	0.8545808721880105	0.7531748913140743	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8565320789689965
3999	True	True	poly	auto	2	ovo	1.0	False	10.0	0.8609735662519373	0.7249238483265606	0.613475652332475	0.782329988851728	0.5362844702467344	0.8415474670816794
4000	False	False	poly	scale	5	ovo	0.0	False	1.0	0.7888232583469482	0.5810000595502711	0.33410131513288155	0.6697402597402597	0.2267053701015965	0.7787648416598177
4001	False	True	rbf	auto	1	ovo	0.0	False	10.0	0.8609777554354656	0.7224973343787916	0.6015250131882992	0.8051117221081983	0.5285921625544268	0.8392331299071467
4002	True	False	sigmoid	auto	3	ovo	0.1	False	0.1	0.7586862720455783	0.7253741370242988	0.0	0.0	0.0	0.8425153443964538
4003	True	True	poly	scale	3	ovo	5.0	False	0.5	0.8527376314356332	0.7112466638011289	0.6013250022608404	0.7282457150692445	0.536211901306241	0.834031772955392
4004	True	True	poly	auto	4	ovo	0.0	False	0.1	0.7586862720455783	0.5676492991577073	0.0	0.0	0.0	0.783153076748212
4005	True	False	linear	auto	3	ovo	5.0	True	5.0						
4006	False	True	rbf	auto	5	ovr	0.0	False	5.0	0.8609819446189937	0.7319937595978754	0.5854176520525083	0.8833717948717948	0.5096516690856314	0.8433704338398587
4007	False	False	rbf	scale	2	ovo	1.0	False	5.0	0.8609777554354656	0.7236753694512857	0.5992669358061963	0.8111349448615351	0.521044992743106	0.8404803539265917
4008	True	False	sigmoid	auto	2	ovr	0.01	False	1.0	0.8363160320053622	0.652065344363933	0.5662887055275206	0.6889284750337381	0.5285921625544268	0.8061963383286411
4009	False	False	rbf	scale	3	ovo	5.0	True	0.01						
4010	True	True	poly	scale	2	ovo	10.0	False	0.1	0.8545808721880105	0.7565723804321325	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8594295906412297
