	solver	penalty	l1_ratio	intercept_scaling	dual	C	accuracy	average_precision	f1	precision	recall	roc_auc
144	liblinear	l2	0.9	5	True	0.05	0.8591512714172008	0.7491134938947603	0.5543821278245303	0.9435117302052787	0.4492017416545718	0.8548962176718484
145	sag	none	0.6	5	True	5.0						
146	lbfgs	l2	0.6	0	True	0.01						
147	saga	l1	0.45	5	False	0.01	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
148	liblinear	elasticnet	0.15	5	True	5.0						
149	liblinear	none	0.0	0	False	1.0						
150	liblinear	l2	0.75	0	True	0.005						
151	liblinear	elasticnet	0.45	5	False	0.005						
152	lbfgs	l1	0.75	0	False	0.001						
153	newton-cg	l2	0.75	0	True	0.5						
154	saga	elasticnet	0.6	1	False	0.01	0.7586862720455783	0.6851729827762659	0.0	0.0	0.0	0.8102068651966355
155	lbfgs	none	0.15	0	True	0.001						
156	liblinear	l2	0.45	0	False	0.01						
157	liblinear	elasticnet	0.75	0	True	5.0						
158	saga	elasticnet	0.6	5	True	5.0						
159	lbfgs	l1	0.15	5	True	0.5						
160	saga	l1	1.0	0	True	5.0						
161	lbfgs	elasticnet	0.75	1	True	0.01						
162	liblinear	elasticnet	0.75	0	True	1.0						
163	liblinear	l1	0.45	0	True	0.05						
164	saga	l2	0.6	5	True	1.0						
165	newton-cg	l2	0.0	1	True	5.0						
166	newton-cg	none	0.75	0	True	0.005						
167	liblinear	elasticnet	0.3	5	False	1.0						
168	sag	elasticnet	0.15	1	True	5.0						
169	saga	none	0.0	5	True	5.0						
170	sag	l2	0.9	5	False	0.1	0.8609777554354656	0.752861876669112	0.5736866813337401	0.9104247104247104	0.4831640058055152	0.8569076013779355
171	sag	l2	0.9	5	True	0.001						
172	newton-cg	l2	0.45	5	False	0.1	0.8609777554354656	0.752861876669112	0.5736866813337401	0.9104247104247104	0.4831640058055152	0.8569076013779355
173	lbfgs	l1	0.3	1	False	0.001						
174	liblinear	elasticnet	1.0	0	True	0.01						
175	lbfgs	none	0.6	5	True	1.0						
176	liblinear	elasticnet	1.0	0	False	0.005						
177	liblinear	l2	1.0	5	True	0.05	0.8591512714172008	0.7491134938947603	0.5543821278245303	0.9435117302052787	0.4492017416545718	0.8548962176718484
178	lbfgs	elasticnet	0.15	0	True	5.0						
179	saga	l2	0.45	0	True	0.005						
180	sag	l2	0.0	1	False	5.0	0.8628084286372586	0.7517978702942394	0.6167333350127623	0.8140894116365814	0.5550072568940494	0.8564026789305261
181	sag	none	0.0	0	True	0.005						
182	lbfgs	none	0.3	1	False	1.0	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
183	saga	l2	0.9	5	True	0.1						
184	lbfgs	elasticnet	1.0	0	False	0.005						
185	sag	elasticnet	0.9	5	False	5.0						
186	sag	elasticnet	0.6	0	True	1.0						
187	liblinear	none	1.0	0	False	10.0						
188	newton-cg	l2	0.9	0	False	0.05	0.8591512714172008	0.7489952758547265	0.5543821278245303	0.9435117302052787	0.4492017416545718	0.8548052879150856
189	liblinear	l2	0.45	5	False	5.0	0.8628084286372586	0.7517856591798145	0.6167333350127623	0.8140894116365814	0.5550072568940494	0.8563803836536277
190	lbfgs	none	0.6	0	True	0.01						
191	newton-cg	none	0.15	1	False	1.0	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
192	liblinear	none	1.0	0	True	10.0						
193	sag	none	0.9	0	False	0.05	0.8609819446189938	0.7507638543820694	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8554251840453249
194	sag	none	0.45	5	False	0.005	0.8609819446189938	0.7507638543820694	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8554251840453249
195	lbfgs	l2	0.0	5	False	0.5	0.8664655858573163	0.753749627676844	0.6161004428169029	0.8775717360114778	0.5399129172714079	0.8578885935614737
196	liblinear	l1	1.0	1	False	0.05	0.8554941141971429	0.7324730803751969	0.5499396158623033	0.9003101058935371	0.4642235123367199	0.844314704390858
197	lbfgs	l1	0.3	5	True	0.005						
198	saga	elasticnet	0.3	0	True	0.005						
199	saga	none	0.9	5	True	10.0						
200	saga	l2	0.75	0	False	0.005	0.7586862720455783	0.7192164528183767	0.0	0.0	0.0	0.8416209103467572
201	sag	l1	0.3	5	False	0.01						
202	saga	l2	0.3	1	False	0.1	0.8609777554354656	0.7529842086143723	0.5736866813337401	0.9104247104247104	0.4831640058055152	0.8569539405809014
203	sag	l1	0.15	5	False	5.0						
204	sag	none	0.9	0	False	0.005	0.8609819446189938	0.7507638543820694	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8554251840453249
205	newton-cg	none	0.3	0	True	0.1						
206	newton-cg	none	0.45	0	False	5.0	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
207	newton-cg	l1	1.0	0	True	0.05						
208	sag	elasticnet	0.75	5	True	1.0						
209	lbfgs	elasticnet	1.0	0	False	0.01						
210	lbfgs	none	0.15	0	True	0.1						
211	sag	none	0.45	1	True	10.0						
212	lbfgs	l1	0.6	0	False	0.1						
213	liblinear	l2	0.3	0	False	1.0						
214	lbfgs	l2	0.6	1	True	0.005						
215	liblinear	elasticnet	0.15	5	True	0.1						
216	sag	elasticnet	0.45	0	False	5.0						
217	saga	none	0.75	5	False	0.1	0.8609819446189938	0.7516879113183019	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557884659100845
218	lbfgs	none	0.15	0	True	0.05						
219	newton-cg	l1	1.0	5	True	5.0						
220	lbfgs	l2	0.15	0	False	5.0	0.8628084286372586	0.7517929836846781	0.6167333350127623	0.8140894116365814	0.5550072568940494	0.8564031160928183
221	saga	none	0.45	0	False	10.0	0.8609819446189938	0.7516252271836563	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557657334708937
222	saga	l1	0.45	1	True	10.0						
223	saga	l1	0.75	0	True	1.0						
224	saga	elasticnet	1.0	0	False	0.005	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
225	newton-cg	none	0.3	1	False	0.05	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
226	lbfgs	l1	0.3	5	False	0.5						
227	lbfgs	l2	0.3	1	False	0.005	0.7586862720455783	0.7188401189018243	0.0	0.0	0.0	0.8415754454683757
228	saga	l2	0.6	0	True	0.5						
229	sag	none	0.45	5	True	5.0						
230	lbfgs	elasticnet	0.0	5	True	0.01						
231	saga	none	0.6	5	True	1.0						
232	lbfgs	none	0.15	1	False	10.0	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
233	sag	l2	0.75	0	False	0.001	0.7586862720455783	0.6479611927988133	0.0	0.0	0.0	0.8114269851539685
234	newton-cg	elasticnet	0.9	0	False	1.0						
235	newton-cg	l1	0.0	0	False	0.05						
236	saga	l2	0.45	1	False	5.0	0.8628084286372586	0.7522172536883558	0.6167333350127623	0.8140894116365814	0.5550072568940494	0.856470001923514
237	liblinear	l1	0.45	0	True	0.1						
238	saga	l1	1.0	5	False	5.0	0.8618951866281261	0.7519680994018607	0.6140701047722125	0.8131380374293933	0.551233671988389	0.8558776470176788
239	sag	elasticnet	0.6	5	True	5.0						
240	saga	none	0.3	5	True	0.005						
241	saga	l2	0.6	5	False	0.001	0.7586862720455783	0.6479451919628512	0.0	0.0	0.0	0.8114042527147779
242	sag	l1	0.75	0	True	10.0						
243	lbfgs	none	0.75	5	False	5.0	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
244	newton-cg	l2	0.75	0	True	0.1						
245	sag	elasticnet	0.15	1	False	1.0						
246	liblinear	elasticnet	0.75	1	True	1.0						
247	lbfgs	l1	0.9	1	True	1.0						
248	newton-cg	l2	0.0	5	False	0.05	0.8591512714172008	0.7489952758547265	0.5543821278245303	0.9435117302052787	0.4492017416545718	0.8548052879150856
249	saga	l2	0.75	0	False	5.0	0.8628084286372586	0.7522950339413972	0.6167333350127623	0.8140894116365814	0.5550072568940494	0.8564931715249969
250	newton-cg	l1	0.75	0	True	0.1						
251	saga	l2	0.9	0	False	0.01	0.7659922081186378	0.7355950416720244	0.05740259740259741	0.6	0.030188679245283023	0.8470959308933848
252	lbfgs	l2	0.0	0	True	5.0						
253	liblinear	elasticnet	0.15	0	True	0.005						
254	sag	elasticnet	1.0	0	False	5.0						
255	lbfgs	l1	0.75	0	True	0.001						
256	saga	l1	1.0	5	True	0.005						
257	lbfgs	none	1.0	1	False	0.5	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
258	newton-cg	none	0.75	0	False	0.005	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
259	newton-cg	none	0.3	0	False	10.0	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
260	sag	elasticnet	0.6	0	False	0.005						
261	saga	l2	0.45	5	False	0.1	0.8600645134263333	0.7530073357945908	0.5707403642301196	0.9095238095238095	0.4793904208998548	0.856976673020092
262	newton-cg	l1	0.75	0	False	0.05						
263	sag	none	0.9	5	False	0.005	0.8609819446189938	0.7507939777674559	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8554483536468078
264	sag	elasticnet	0.6	5	False	0.05						
265	liblinear	none	0.6	1	True	10.0						
266	saga	none	0.75	1	True	0.5						
267	saga	none	0.6	0	True	0.001						
268	newton-cg	none	0.0	0	False	0.05	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
269	liblinear	none	0.6	5	True	5.0						
270	lbfgs	none	0.0	0	False	0.001	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
271	newton-cg	l1	0.0	0	False	0.01						
272	saga	elasticnet	0.15	5	True	0.5						
273	sag	none	0.75	1	True	10.0						
274	liblinear	l1	0.3	5	False	0.005	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
275	lbfgs	l2	0.3	0	True	0.01						
276	lbfgs	none	0.9	1	True	1.0						
277	lbfgs	l1	0.0	0	True	0.5						
278	saga	none	1.0	5	False	0.001	0.8609819446189938	0.7516116070255817	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557657334708937
279	sag	l1	0.45	0	False	0.01						
280	liblinear	l1	0.75	1	True	0.1						
281	newton-cg	l2	0.9	0	True	1.0						
282	newton-cg	elasticnet	0.3	0	False	10.0						
283	liblinear	elasticnet	0.6	5	False	0.1						
284	newton-cg	none	0.9	5	False	0.1	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
285	lbfgs	none	0.3	0	True	0.1						
286	liblinear	elasticnet	0.45	0	False	0.05						
287	newton-cg	l1	0.15	0	False	0.1						
288	saga	l1	0.3	5	False	0.005	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
289	lbfgs	l2	0.3	5	True	10.0						
290	liblinear	elasticnet	0.9	5	False	0.005						
291	newton-cg	l1	0.15	0	False	0.05						
292	lbfgs	l1	0.0	5	False	1.0						
293	saga	l1	0.3	1	False	5.0	0.8618951866281261	0.7519243940399589	0.6140701047722125	0.8131380374293933	0.551233671988389	0.8558549145784882
294	lbfgs	l1	0.3	5	True	10.0						
295	lbfgs	elasticnet	0.3	5	False	0.01						
296	lbfgs	l2	0.45	0	False	0.1	0.8609777554354656	0.752861876669112	0.5736866813337401	0.9104247104247104	0.4831640058055152	0.8569076013779355
297	liblinear	elasticnet	1.0	0	False	0.05						
298	saga	none	1.0	0	False	10.0	0.8609819446189938	0.7516252271836563	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557657334708937
299	sag	l2	0.15	0	True	0.005						
300	liblinear	l1	0.15	0	True	0.5						
301	liblinear	elasticnet	0.75	0	False	0.05						
302	lbfgs	l2	0.0	5	True	1.0						
303	sag	none	0.15	0	True	1.0						
304	liblinear	l2	0.45	0	False	0.5						
305	newton-cg	none	0.3	1	False	5.0	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
306	saga	l2	1.0	0	False	0.5	0.865552343848184	0.7534873064277814	0.6146777341985719	0.8726474935872354	0.5399129172714079	0.8580026929197195
307	saga	l2	1.0	0	True	10.0						
308	liblinear	none	0.15	5	True	0.005						
309	newton-cg	l2	0.3	1	True	1.0						
310	lbfgs	l2	0.15	0	False	0.005	0.7586862720455783	0.7188401189018243	0.0	0.0	0.0	0.8415754454683757
311	liblinear	none	0.75	5	False	10.0						
312	newton-cg	l1	0.45	5	True	0.01						
313	newton-cg	none	0.3	5	True	0.001						
314	sag	l1	0.75	5	False	5.0						
315	sag	l2	0.45	5	True	5.0						
316	lbfgs	l2	0.3	5	False	5.0	0.8628084286372586	0.7517929836846781	0.6167333350127623	0.8140894116365814	0.5550072568940494	0.8564031160928183
317	liblinear	l2	0.9	0	False	5.0						
318	sag	l1	0.6	1	True	0.1						
319	newton-cg	none	0.6	0	True	0.5						
320	lbfgs	l1	0.75	0	True	0.005						
321	liblinear	none	1.0	5	False	0.1						
322	newton-cg	none	0.45	5	False	10.0	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
323	lbfgs	elasticnet	0.6	0	False	0.05						
324	newton-cg	l2	0.6	0	True	0.005						
325	sag	elasticnet	0.9	1	True	1.0						
326	newton-cg	l2	0.45	5	True	0.005						
327	sag	elasticnet	0.0	0	False	5.0						
328	liblinear	l2	0.6	5	True	5.0	0.863721670646391	0.7514156434793996	0.6179596039007902	0.8190315435280977	0.5550072568940494	0.8568411527095318
329	lbfgs	none	0.9	1	False	0.001	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
330	sag	elasticnet	0.0	0	True	0.1						
331	sag	l1	0.45	5	True	0.005						
332	lbfgs	none	0.75	1	True	10.0						
333	newton-cg	elasticnet	0.15	1	True	0.001						
334	sag	l2	0.15	5	False	1.0	0.8628126178207868	0.7536426324592191	0.612965367965368	0.8549160916602776	0.5474600870827286	0.8577657509573855
335	lbfgs	l1	0.9	5	True	0.5						
336	saga	elasticnet	0.75	0	True	0.5						
337	newton-cg	l1	0.0	0	True	0.5						
338	lbfgs	l1	0.45	0	False	0.05						
339	newton-cg	elasticnet	0.9	0	False	0.001						
340	lbfgs	l1	1.0	5	False	10.0						
341	sag	none	0.15	0	False	0.005	0.8609819446189938	0.7507168980088088	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8554024516061343
342	lbfgs	none	0.15	1	True	5.0						
343	saga	l2	0.6	5	True	0.005						
344	lbfgs	elasticnet	0.0	0	False	0.5						
345	liblinear	l1	0.0	0	False	1.0						
346	liblinear	none	0.75	0	False	0.5						
347	sag	l2	1.0	1	True	10.0						
348	lbfgs	elasticnet	0.9	5	False	0.01						
349	liblinear	elasticnet	0.3	5	False	0.05						
350	sag	l2	0.75	5	True	0.5						
351	sag	none	0.15	5	True	10.0						
352	saga	l1	0.15	5	False	0.1	0.8582338402245402	0.7525977706233438	0.5648701442841289	0.8897879352985759	0.4906386066763425	0.856378197842167
353	saga	l2	1.0	5	False	0.01	0.7659922081186378	0.7355950416720244	0.05740259740259741	0.6	0.030188679245283023	0.8470959308933848
354	saga	none	0.3	0	True	0.01						
355	newton-cg	elasticnet	0.3	1	False	0.05						
356	liblinear	none	0.45	5	False	0.005						
357	saga	l1	0.6	1	True	10.0						
358	newton-cg	l1	0.75	1	False	1.0						
359	lbfgs	l2	0.9	0	True	0.1						
360	liblinear	l1	0.75	0	False	10.0						
361	liblinear	none	0.3	0	False	0.05						
362	liblinear	l2	1.0	5	False	0.001	0.7586862720455783	0.700832804321694	0.0	0.0	0.0	0.8241178064944832
363	sag	l2	1.0	5	True	0.01						
364	sag	none	0.45	5	True	0.005						
365	liblinear	none	0.9	5	False	1.0						
366	sag	elasticnet	0.75	0	False	0.5						
367	sag	l2	0.15	0	True	1.0						
368	saga	none	0.3	0	False	5.0	0.8609819446189938	0.7516742911602272	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8557884659100845
