	power_t	penalty	loss	learning_rate	l1_ratio	eta0	epsilon	average	alpha	accuracy	average_precision	f1	precision	recall	roc_auc
7923	0.5	elasticnet	squared_hinge	invscaling	1.0	0.01	0.7	False	0.001	0.8573247873989359	0.7481485255814946	0.5577852295033425	0.918530701754386	0.46052249637155296	0.8535209051008096
7924	0.9	l1	perceptron	adaptive	0.6	0.1	0.2	True	1.0	0.30890620418080517	0.1586386903863119	0.1354206246386766	0.098920941294071	0.2358490566037736	0.2237339780019935
7925	0.9	elasticnet	hinge	constant	1.0	1e-05	0.3	True	0.01	0.7586862720455783	0.4846027850931785	0.0	0.0	0.0	0.657578208334062
7926	0.1	elasticnet	log	invscaling	0.75	1e-05	0.2	False	0.0001	0.7586862720455783	0.4709289275756806	0.0	0.0	0.0	0.6482238096070786
7927	0.25	elasticnet	hinge	invscaling	0.0	0.1	0.7	False	0.01	0.8591470822336726	0.7477479056299752	0.5734950675692563	0.8803001519756839	0.5095065312046445	0.8601120009792436
7928	0.1	l1	perceptron	constant	0.3	0.1	0.5	True	0.1	0.30255959113568764	0.1547742571385414	0.11855462110280376	0.08697500927244566	0.19339622641509435	0.20491545281270218
7929	0.57	l1	log	optimal	0.3	1e-05	0.9	False	1.0	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
7930	0.9	l2	squared_error	constant	1.0	1e-05	0.2	False	0.0001	0.7586862720455783	0.6126964283344348	0.0	0.0	0.0	0.7677544721702485
7931	0.5	elasticnet	squared_hinge	constant	0.75	0.0001	0.7	True	1e-06	0.849101420133216	0.7467209973036484	0.5055473044142021	0.9536630036630036	0.3962989840348331	0.8519195796247399
7932	0.5	l2	hinge	optimal	0.3	0.001	0.7	False	0.001	0.8545808721880105	0.7335118118219786	0.5683358471157038	0.8639225719527577	0.49818577648766327	0.8447098991029431
7933	0.5	l1	log	constant	0.6	0.1	0.1	False	0.001	0.8134263332076579	0.7416146056165134	0.6294221959448109	0.6146255249538424	0.6652394775036286	0.8508183678108662
7934	0.5	l1	modified_huber	invscaling	0.15	0.1	0.5	False	1e-06	0.8600645134263333	0.7527336629021727	0.5831481481481482	0.8834494481553307	0.5058055152394776	0.8568022452655324
7935	0.25	elasticnet	log	adaptive	0.75	0.0001	0.7	True	0.0001	0.7586862720455783	0.6958957141785331	0.0	0.0	0.0	0.8236876387990278
7936	0.57	elasticnet	squared_hinge	optimal	0.15	1e-05	0.9	True	1e-05	0.8655565330317122	0.752332175108043	0.6219997440550981	0.8613901374503289	0.5513062409288825	0.8548481298197143
